,age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude
0,18-24,A no further action disposal,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-24T00:00:00+00:00,False,,Asian,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.266889,1312499,On or near Station Approach,-2.196974
1,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-24T00:00:00+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.202327,1311908,On or near Chantry Close,-1.777109
2,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2021-12-25T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.401792,1314685,On or near Kingsdown Grove,-2.276805
3,18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-25T00:00:00+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.401792,1314685,On or near Kingsdown Grove,-2.276805
4,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Other,Misuse of Drugs Act 1971 (section 23),,2021-12-25T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.401792,1314685,On or near Kingsdown Grove,-2.276805
5,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-25T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.401792,1314685,On or near Kingsdown Grove,-2.276805
6,18-24,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-26T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.313622,1313176,On or near Cherry Gardens,-2.205984
7,18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-26T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.313357,1313155,On or near Carders Corner,-2.203185
8,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-26T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.313357,1313155,On or near Carders Corner,-2.203185
9,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-26T00:00:00+00:00,False,,White,Person search,,Stolen goods,bu-no-further-action,A no further action disposal,51.594794,1319029,On or near Hilmarton Avenue,-1.781937
10,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-26T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.561954,1317910,On or near Shopping Area,-1.785196
11,over 34,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-26T00:00:00+00:00,False,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.562990,1317952,On or near A4259,-1.771515
12,25-34,A no further action disposal,True,Mixed/Multiple ethnic groups - White and Asian,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-26T00:00:00+00:00,False,,Other,Person search,,Article for use in theft,bu-no-further-action,A no further action disposal,51.562990,1317952,On or near A4259,-1.771515
13,over 34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-27T00:00:00+00:00,False,,White,Person search,,Evidence of offences under the Act,bu-no-further-action,A no further action disposal,51.596766,1319164,On or near Hargreaves Road,-1.773843
14,25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-28T00:00:00+00:00,False,,White,Person and Vehicle search,,Stolen goods,bu-no-further-action,A no further action disposal,51.215935,782588,On or near Caxton Close,-1.507390
15,25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-28T00:00:00+00:00,False,,White,Person and Vehicle search,,Stolen goods,bu-no-further-action,A no further action disposal,51.215935,782588,On or near Caxton Close,-1.507390
16,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-28T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.551881,1317167,On or near The Shearings,-1.778566
17,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-28T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.551881,1317167,On or near The Shearings,-1.778566
18,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-28T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.551881,1317167,On or near The Shearings,-1.778566
19,10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2021-12-29T00:00:00+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.209650,761147,On or near Bulford Road,-1.668534
20,10-17,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2021-12-29T00:00:00+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.548477,1317230,On or near Quarry Mews,-1.780486
